G;0;1
F;0;4
8;0;5
9;0;6
6;0;7
4;0;8
B;0;9
D;0;10
5;0;11
3;0;14
6;1;0
C;1;1
4;1;6
E;1;7
2;1;8
7;1;9
5;1;14
9;1;15
D;2;3
G;2;6
7;2;7
F;2;8
E;2;9
6;2;12
4;3;2
3;3;3
A;3;4
6;3;11
1;3;12
B;3;13
7;4;0
5;4;3
8;4;4
F;4;5
B;4;10
E;4;11
9;4;12
G;4;15
8;5;0
9;5;4
4;5;7
D;5;8
3;5;11
2;5;15
C;6;0
1;6;1
3;6;2
6;6;6
G;6;9
F;6;13
4;6;14
5;6;15
9;7;0
D;7;1
B;7;2
G;7;5
F;7;10
7;7;13
A;7;14
6;7;15
G;8;0
B;8;1
A;8;2
2;8;5
7;8;10
5;8;13
6;8;14
D;8;15
5;9;0
6;9;1
F;9;2
A;9;6
2;9;9
8;9;13
7;9;14
4;9;15
D;10;0
6;10;4
9;10;7
5;10;8
G;10;11
F;10;15
3;11;0
C;11;3
B;11;4
5;11;5
A;11;10
4;11;11
G;11;12
1;11;15
9;12;2
6;12;3
G;12;4
7;12;11
2;12;12
C;12;13
G;13;3
B;13;6
D;13;7
C;13;8
5;13;9
F;13;12
4;14;0
3;14;1
8;14;6
2;14;7
G;14;8
F;14;9
1;14;14
7;14;15
8;15;1
5;15;4
9;15;5
E;15;6
A;15;7
1;15;8
3;15;9
2;15;10
D;15;11
G;15;14
